"Country,
Other","Total Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Serious,
Critical",Region
China,74186,"+1,750",2005,+137,14451,12017,Asia
"Diamond Princess",542,,,,17,20,
Singapore,81,,,,29,4,Asia
Japan,76,+2,1,,20,4,Asia
"Hong Kong",62,,2,+1,4,7,Asia
"S. Korea",46,+15,,,16,,Asia
Thailand,35,,,,17,2,Asia
USA,29,,,,3,,N.America
Taiwan,22,,1,,2,,Asia
Malaysia,22,,,,11,,Asia
Vietnam,16,,,,7,,Asia
Germany,16,,,,9,,Europe
Australia,15,,,,10,,Oceania
France,12,,1,,7,,Europe
Macao,10,,,,5,,Asia
U.K.,9,,,,8,,Europe
U.A.E.,9,,,,3,1,Asia
Canada,8,,,,1,,N.America
Philippines,3,,1,,2,,Asia
Italy,3,,,,,2,Europe
India,3,,,,3,,Asia
Russia,2,,,,2,,Europe
Spain,2,,,,2,,Europe
Nepal,1,,,,1,,Asia
Belgium,1,,,,1,,Europe
"Sri Lanka",1,,,,1,,Asia
Finland,1,,,,1,,Europe
Egypt,1,,,,,,Africa
Cambodia,1,,,,1,,Asia
Sweden,1,,,,,,Europe
