"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","1st
case"
USA,141781,"+18,203",2471,+251,4435,134875,2970,428,7,2020/01/20
Italy,97689,"+5,217",10779,+756,13030,73880,3906,1616,178,2020/01/29
Spain,80110,"+6,875",6803,+821,14709,58598,4165,1713,146,2020/01/30
Germany,62095,"+4,400",533,+100,9211,52351,1979,741,6,2020/01/26
France,40174,"+2,599",2606,+292,7202,30366,4632,615,40,2020/01/23
Iran,38309,"+2,901",2640,+123,12391,23278,3206,456,31,2020/02/18
UK,19522,"+2,433",1228,+209,135,18159,163,288,18,2020/01/30
Switzerland,14829,+753,300,+36,1595,12934,301,1713,35,2020/02/24
Netherlands,10866,"+1,104",771,+132,250,9845,972,634,45,2020/02/26
Belgium,10836,"+1,702",431,+78,1359,9046,867,935,37,2020/02/03
"S. Korea",9583,+105,152,+8,5033,4398,59,187,3,2020/01/19
Turkey,9217,"+1,815",131,+23,105,8981,568,109,2,2020/03/09
Austria,8788,+517,86,+18,479,8223,187,976,10,2020/02/24
Canada,6280,+625,65,+5,573,5642,120,166,2,2020/01/24
Portugal,5962,+792,119,+19,43,5800,89,585,12,2020/03/01
Norway,4284,+269,25,+2,7,4252,91,790,5,2020/02/25
Brazil,4256,+352,136,+22,6,4114,296,20,0.6,2020/02/24
Israel,4247,+628,15,+3,132,4100,74,491,2,2020/02/20
Australia,4163,+528,17,+3,226,3920,28,163,0.7,2020/01/24
Sweden,3700,+253,110,+5,16,3574,255,366,11,2020/01/30
Czechia,2817,+186,16,+5,11,2790,45,263,1,2020/02/29
Ireland,2615,+200,46,+10,5,2564,59,530,9,2020/02/28
Malaysia,2470,+150,35,+8,388,2047,73,76,1,2020/01/24
Denmark,2395,+194,72,+7,1,2322,113,413,12,2020/02/26
Chile,2139,+230,7,+1,75,2057,7,112,0.4,2020/03/02
Luxembourg,1950,+119,21,+3,40,1889,25,3115,34,2020/02/28
Ecuador,1924,+101,58,+10,3,1863,58,109,3,2020/02/28
Japan,1866,+173,54,+2,424,1388,56,15,0.4,2020/01/14
Poland,1862,+224,22,+4,7,1833,3,49,0.6,2020/03/03
Romania,1815,+363,43,+6,206,1566,31,94,2,2020/02/25
Pakistan,1597,+102,14,+2,29,1554,11,7,0.06,2020/02/25
Russia,1534,+270,8,+4,64,1462,8,11,0.05,2020/01/30
Philippines,1418,+343,71,+3,42,1305,1,13,0.6,2020/01/29
Thailand,1388,+143,7,+1,97,1284,11,20,0.1,2020/01/12
"Saudi Arabia",1299,+96,8,+4,66,1225,12,37,0.2,2020/03/01
Indonesia,1285,+130,114,+12,64,1107,,5,0.4,2020/03/01
"South Africa",1280,+93,2,+1,31,1247,7,22,0.03,2020/03/04
Finland,1240,+73,11,+2,10,1219,32,224,2,2020/01/28
Greece,1156,+95,39,+7,52,1065,66,111,4,2020/02/25
India,1024,+37,27,+3,95,902,,0.7,0.02,2020/01/29
