"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Reported
1st case"
USA,163381,"+19,890",3148,+565,5506,154727,3512,494,10,2020/01/20
Italy,101739,"+4,050",11591,+812,14620,75528,3981,1683,192,2020/01/29
Spain,87956,"+7,846",7716,+913,16780,63460,5231,1881,165,2020/01/30
Germany,66885,"+4,450",645,+104,13500,52740,1979,798,8,2020/01/26
France,44550,"+4,376",3024,+418,7927,33599,5056,683,46,2020/01/23
Iran,41495,"+3,186",2757,+117,13911,24827,3511,494,33,2020/02/18
UK,22141,"+2,619",1408,+180,135,20598,163,326,21,2020/01/30
Switzerland,15922,"+1,093",359,+59,1823,13740,301,1840,41,2020/02/24
Belgium,11899,"+1,063",513,+82,1527,9859,927,1027,44,2020/02/03
Netherlands,11750,+884,864,+93,250,10636,1053,686,50,2020/02/26
Turkey,10827,"+1,610",168,+37,162,10497,568,128,2,2020/03/09
"S. Korea",9661,+78,158,+6,5228,4275,59,188,3,2020/01/19
Austria,9618,+830,108,+22,636,8874,193,1068,12,2020/02/24
Canada,7448,"+1,128",89,+24,1093,6266,120,197,2,2020/01/24
Portugal,6408,+446,140,+21,43,6225,164,628,14,2020/03/01
Israel,4695,+448,16,+1,161,4518,79,542,2,2020/02/20
Brazil,4630,+374,163,+27,120,4347,296,22,0.8,2020/02/24
Australia,4460,+297,19,+2,244,4197,28,175,0.7,2020/01/24
Norway,4445,+161,32,+6,12,4401,97,820,6,2020/02/25
Sweden,4028,+328,146,+36,16,3866,306,399,14,2020/01/30
Czechia,3001,+184,23,+7,25,2953,52,280,2,2020/02/29
Ireland,2910,+295,54,+8,5,2851,84,589,11,2020/02/28
Malaysia,2626,+156,37,+2,479,2110,94,81,1,2020/01/24
Denmark,2577,+182,77,+5,1,2499,137,445,13,2020/02/26
Chile,2449,+310,8,+1,156,2285,14,128,0.4,2020/03/02
Romania,2109,+294,65,+22,209,1835,33,110,3,2020/02/25
Poland,2055,+193,31,+9,7,2017,3,54,0.8,2020/03/03
Luxembourg,1988,+38,22,+1,40,1926,25,3176,35,2020/02/28
Ecuador,1966,+42,62,+4,3,1901,58,111,4,2020/02/28
Japan,1953,+87,56,+2,424,1473,56,15,0.4,2020/01/14
Russia,1836,+302,9,+1,66,1761,8,13,0.06,2020/01/30
Pakistan,1717,+120,21,+7,76,1620,11,8,0.1,2020/02/25
Philippines,1546,+128,78,+7,42,1426,1,14,0.7,2020/01/29
Thailand,1524,+136,9,+2,229,1286,11,22,0.1,2020/01/12
"Saudi Arabia",1453,+154,8,,115,1330,12,42,0.2,2020/03/01
Indonesia,1414,+129,122,+8,75,1217,,5,0.4,2020/03/01
Finland,1352,+112,13,+2,10,1329,49,244,2,2020/01/28
"South Africa",1326,+46,3,+1,31,1292,7,22,0.05,2020/03/04
India,1251,+227,32,+5,102,1117,,0.9,0.02,2020/01/29
Greece,1212,+56,46,+7,52,1114,72,116,4,2020/02/25
Iceland,1086,+66,2,,157,927,25,3182,6,2020/02/27
Panama,1075,+86,27,+3,9,1039,43,249,6,2020/03/09
Mexico,993,+145,20,+4,35,938,1,8,0.2,2020/02/27
Peru,950,+98,24,+6,53,873,49,29,0.7,2020/03/05
"Dominican Republic",901,+42,42,+3,4,855,,83,4,2020/02/29
Singapore,879,+35,3,,228,648,19,150,0.5,2020/01/22
Argentina,820,,23,+3,228,569,,18,0.5,2020/03/02
Colombia,798,+96,14,+4,15,769,29,16,0.3,2020/03/05
Croatia,790,+77,6,,67,717,27,192,1,2020/02/24
Serbia,785,+44,16,+3,42,727,62,90,2,2020/03/05
Slovenia,756,+26,11,,10,735,28,364,5,2020/03/03
Estonia,715,+36,3,,20,692,10,539,2,2020/02/26
"Diamond Princess",712,,10,,603,99,15,,,2020/02/04
Qatar,693,+59,1,,51,641,6,241,0.3,2020/02/28
"Hong Kong",683,+41,4,,118,561,5,91,0.5,2020/01/22
Egypt,656,+47,41,+1,150,465,,6,0.4,2020/02/13
Iraq,630,+83,46,+4,152,432,,16,1,2020/02/21
UAE,611,+41,5,+2,61,545,2,62,0.5,2020/01/28
"New Zealand",589,+75,1,,63,525,2,122,0.2,2020/02/27
Algeria,584,+73,35,+4,37,512,,13,0.8,2020/02/24
Morocco,556,+77,33,+7,15,508,1,15,0.9,2020/03/01
Ukraine,548,+73,13,+3,8,527,,13,0.3,2020/03/02
Bahrain,515,+16,4,,295,216,2,303,2,2020/02/23
Lithuania,491,+31,7,,7,477,5,180,3,2020/02/27
Armenia,482,+58,3,,30,449,15,163,1,2020/02/29
Hungary,447,+39,15,+2,34,398,6,46,2,2020/03/03
Lebanon,446,+8,11,+1,35,400,3,65,2,2020/02/20
Latvia,376,+29,,,1,375,3,199,,2020/03/01
Andorra,370,+36,8,+2,10,352,10,4789,104,2020/03/01
"Bosnia and Herzegovina",368,+45,10,+4,17,341,1,112,3,2020/03/04
Tunisia,362,+50,10,+2,3,349,10,31,0.8,2020/03/01
Bulgaria,359,+13,8,,17,334,13,52,1,2020/03/06
Slovakia,336,+22,,,7,329,1,62,,2020/03/05
"Costa Rica",330,+16,2,,4,324,7,65,0.4,2020/03/04
Uruguay,320,+16,1,,25,294,9,92,0.3,2020/03/12
Taiwan,306,+8,5,+2,39,262,,13,0.2,2020/01/20
Kazakhstan,302,+18,1,,21,280,,16,0.05,2020/03/12
Moldova,298,+35,2,,15,281,44,74,0.5,2020/03/06
"North Macedonia",285,+26,7,+1,12,266,1,137,3,2020/02/25
Azerbaijan,273,+64,4,,26,243,23,27,0.4,2020/02/27
Jordan,268,+9,5,+2,26,237,3,26,0.5,2020/03/01
Kuwait,266,+11,,,72,194,13,62,,2020/02/23
"Burkina Faso",246,+24,12,,31,203,,12,0.6,2020/03/08
"San Marino",230,+6,25,+3,13,192,16,6778,737,2020/02/26
Cyprus,230,+16,7,+1,22,201,3,190,6,2020/03/08
Réunion,224,+41,,,1,223,,250,,2020/03/10
Albania,223,+11,11,+1,44,168,7,77,4,2020/03/07
Vietnam,204,+10,,,55,149,3,2,,2020/01/22
Oman,179,+12,,,29,150,3,35,,2020/02/23
Afghanistan,170,+50,4,,2,164,,4,0.1,2020/02/23
Cuba,170,+31,4,+1,4,162,2,15,0.4,2020/03/10
"Ivory Coast",168,+3,1,,6,161,,6,0.04,2020/03/10
"Faeroe Islands",168,+9,,,70,98,1,3438,,2020/03/03
Senegal,162,+20,,,27,135,,10,,2020/03/01
Malta,156,+5,,,2,154,4,353,,2020/03/06
Ghana,152,,5,,2,145,1,5,0.2,2020/03/11
Belarus,152,+58,,,32,120,2,16,,2020/02/27
Uzbekistan,149,+5,2,,7,140,8,4,0.06,2020/03/14
"Channel Islands",141,+33,2,,,139,,811,12,2020/03/08
Honduras,139,+29,7,+4,3,129,4,14,0.7,2020/03/10
Cameroon,139,,6,,5,128,,5,0.2,2020/03/05
Venezuela,135,+16,3,,39,93,6,5,0.1,2020/03/12
Nigeria,131,+20,2,+1,8,121,,0.6,0.01,2020/02/27
Mauritius,128,+21,3,,,125,1,101,2,2020/03/17
Brunei,127,+1,1,,38,88,3,290,2,2020/03/08
"Sri Lanka",122,+5,2,+1,15,105,5,6,0.09,2020/01/26
Palestine,117,+8,1,,18,98,,23,0.2,2020/03/04
Cambodia,107,+4,,,21,86,1,6,,2020/01/26
Guadeloupe,106,,4,,17,85,10,265,10,2020/03/12
Georgia,103,+12,,,20,83,6,26,,2020/02/25
Bolivia,97,+16,4,+3,,93,3,8,0.3,2020/03/09
Kyrgyzstan,94,+10,,,3,91,,14,,2020/03/17
Martinique,93,,1,,,92,12,248,3,2020/03/04
Montenegro,91,+6,1,,,90,1,145,2,2020/03/16
"Trinidad and Tobago",83,+5,3,,1,79,,59,2,2020/03/11
Mayotte,82,+19,,,10,72,3,301,,2020/03/13
DRC,81,,8,,2,71,,0.9,0.09,2020/03/09
Rwanda,70,,,,,70,,5,,2020/03/13
Gibraltar,69,+4,,,34,35,,2048,,2020/03/02
Paraguay,64,+5,3,,1,60,3,9,0.4,2020/03/06
Liechtenstein,62,+6,,,,62,,1626,,2020/03/02
Kenya,50,+8,1,,1,48,2,0.9,0.02,2020/03/12
Aruba,50,,,,1,49,,468,,2020/03/12
Bangladesh,49,+1,5,,19,25,1,0.3,0.03,2020/03/07
Monaco,49,+3,1,,1,47,,1249,25,2020/02/27
"Isle of Man",49,+7,,,,49,,576,,2020/03/18
"French Guiana",43,,,,6,37,,144,,2020/03/06
Madagascar,43,+4,,,,43,,2,,2020/03/19
Macao,38,+1,,,10,28,,59,,2020/01/21
Guatemala,36,+2,1,,10,25,1,2,0.06,2020/03/12
Jamaica,36,+4,1,,2,33,,12,0.3,2020/03/09
"French Polynesia",36,+6,,,,36,2,128,,2020/03/10
Zambia,35,+6,,,,35,,2,,2020/03/17
Barbados,33,,,,,33,,115,,2020/03/16
Uganda,33,,,,,33,,0.7,,2020/03/20
Togo,30,+5,1,,1,28,,4,0.1,2020/03/05
"El Salvador",30,+6,,,,30,5,5,,2020/03/18
Niger,27,+9,3,+2,,24,,1,0.1,2020/03/18
Bermuda,27,+5,,,2,25,,434,,2020/03/17
Mali,25,+7,2,+1,,23,,1,0.1,2020/03/24
Ethiopia,23,+2,,,4,19,1,0.2,,2020/03/12
Guinea,22,+6,,,,22,,2,,2020/03/12
Congo,19,,,,,19,,3,,2020/03/14
Tanzania,19,+5,,,1,18,,0.3,,2020/03/15
Djibouti,18,,,,,18,,18,,2020/03/17
Maldives,17,,,,13,4,,31,,2020/03/06
"Saint Martin",15,+4,1,+1,2,12,,388,26,2020/02/29
Eritrea,15,+3,,,,15,,4,,2020/03/20
Haiti,15,,,,1,14,,1,,2020/03/19
"New Caledonia",15,,,,,15,,53,,2020/03/17
Bahamas,14,,,,1,13,,36,,2020/03/14
Myanmar,14,+4,,,,14,,0.3,,2020/03/22
"Cayman Islands",12,,1,,,11,,183,15,2020/03/12
Dominica,12,+1,,,,12,,167,,2020/03/21
"Equatorial Guinea",12,,,,,12,,9,,2020/03/13
Mongolia,12,,,,2,10,,4,,2020/03/09
