"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Active
Cases","Total
Recovered","Serious,
Critical"
China,80430,+21,3013,+1,25147,52270,5952
"S. Korea",6088,+467,40,+5,5913,135,52
Italy,3858,+769,148,+41,3296,414,351
Iran,3513,+591,108,+16,2666,739,
"Diamond Princess",696,,6,,478,212,35
Germany,545,+283,,,528,17,2
France,423,+138,7,+3,404,12,23
Japan,364,+33,6,,315,43,29
Spain,282,+54,3,+1,276,3,7
USA,221,+63,12,+1,200,9,8
Switzerland,119,+26,1,+1,115,3,
Singapore,117,+5,,,36,81,7
UK,116,+29,1,+1,97,18,
"Hong Kong",105,+2,2,,66,37,6
Sweden,94,+42,,,93,1,
Norway,91,+32,,,91,,
Netherlands,82,+44,,,82,,1
Australia,60,+7,2,,36,22,1
Kuwait,58,+2,,,58,,
Bahrain,55,+3,,,51,4,
Malaysia,55,+5,,,33,22,
Belgium,50,+27,,,49,1,1
Thailand,47,+4,1,,15,31,1
Taiwan,44,+2,1,,31,12,
Austria,43,+14,,,41,2,1
Canada,37,+3,,,29,8,1
Iraq,36,+1,3,+1,33,,
Iceland,35,+9,,,35,,
Greece,31,+22,,,31,,
India,30,+1,,,27,3,
UAE,28,,,,23,5,2
"San Marino",21,+5,1,,20,,3
Denmark,20,+5,,,19,1,
Algeria,17,,,,17,,
Israel,17,+2,,,15,2,
Lebanon,16,+1,,,16,,1
Oman,16,+1,,,14,2,
Vietnam,16,,,,0,16,
Ecuador,13,+3,,,13,,1
Ireland,13,+7,,,13,,
Czechia,12,+4,,,12,,
Finland,12,+5,,,11,1,
Macao,10,,,,1,9,
Croatia,10,,,,10,,
Georgia,9,+6,,,9,,1
Portugal,9,+3,,,9,,
Brazil,8,+5,,,8,,
Qatar,8,,,,8,,
Palestine,7,+7,,,7,,
Azerbaijan,6,+3,,,6,,
Belarus,6,,,,6,,
Mexico,6,,,,5,1,
Romania,6,,,,5,1,
Slovenia,6,+5,,,6,,
Estonia,5,+3,,,5,,
Pakistan,5,,,,5,,
"Saudi Arabia",5,+3,,,4,1,
"New Zealand",4,+1,,,4,,
Russia,4,+1,,,2,2,
Senegal,4,,,,4,,
Chile,4,+1,,,4,,
Hungary,4,+2,,,4,,
Philippines,3,,1,,0,2,
Egypt,3,+1,,,2,1,
Indonesia,2,,,,2,,
Luxembourg,2,+1,,,2,,
Morocco,2,+1,,,2,,1
Argentina,2,+1,,,2,,
"Bosnia and Herzegovina",2,+2,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Cambodia,1,,,,0,1,
"Dominican Republic",1,,,,1,,
Jordan,1,,,,1,,
Latvia,1,,,,0,1,
Lithuania,1,,,,1,,
"North Macedonia",1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
Nigeria,1,,,,1,,
"Sri Lanka",1,,,,0,1,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
"Costa Rica",1,+1,,,1,,
Gibraltar,1,,,,1,,
Liechtenstein,1,,,,1,,
Poland,1,,,,1,,
"South Africa",1,+1,,,1,,
*Total:*,98088,2780,3356,71,40585,54147,6487
