"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",568162,"+31,321",21777,"+1,955",37923,508462,12312,,,,,"North America"
Europe,852899,"+32,790",73625,"+3,562",210127,569147,29996,,,,,Europe
Asia,286441,"+11,354",10588,+361,142458,133395,6618,,,,,Asia
"South America",48065,"+3,089",1947,+138,5224,40894,1241,,,,,"South America"
Oceania,7702,+94,60,+4,3688,3954,85,,,,,Australia/Oceania
Africa,14220,+681,745,+48,2457,11018,172,,,,,Africa
,721,,13,,619,89,10,,,,,
World,1778210,"+79,329",108755,"+6,068",402496,1266959,50434,228,14,,,All
USA,532092,"+29,216",20562,"+1,815",30298,481232,11320,1608,62,2671008,8069,"North America"
Spain,163027,"+4,754",16606,+525,59109,87312,7371,3487,355,355000,7593,Europe
Italy,152271,"+4,694",19468,+619,32534,100269,3381,2518,322,963473,15935,Europe
France,129654,"+4,785",13832,+635,26391,89431,6883,1986,212,333807,5114,Europe
Germany,125452,"+3,281",2871,+135,57400,65181,4895,1497,34,1317887,15730,Europe
UK,78991,"+5,233",9875,+917,344,68772,1559,1164,145,334974,4934,Europe
Iran,70029,"+1,837",4357,+125,41947,23725,3987,834,52,251703,2997,Asia
Turkey,52167,"+5,138",1101,+95,2965,48101,1626,619,13,340380,4036,Asia
Belgium,28018,"+1,351",3346,+327,5986,18686,1262,2418,289,102151,8814,Europe
Switzerland,25107,+556,1036,+34,12100,11971,386,2901,120,190000,21954,Europe
Netherlands,24413,"+1,316",2643,+132,250,21520,1384,1425,154,101534,5926,Europe
Canada,23318,"+1,170",653,+84,6428,16237,557,618,17,401552,10639,"North America"
Brazil,20962,"+1,173",1140,+72,173,19649,296,99,5,62985,296,"South America"
Portugal,15987,+515,470,+35,266,15251,233,1568,46,162798,15966,Europe
Austria,13806,+246,337,+18,6604,6865,246,1533,37,140975,15653,Europe
Russia,13584,"+1,667",106,+12,1045,12433,8,93,0.7,1184442,8116,Europe
Israel,10743,+335,101,+6,1341,9301,175,1241,12,117339,13557,Asia
"S. Korea",10480,+30,211,+3,7243,3026,55,204,4,510479,9957,Asia
Sweden,10151,+466,887,+17,381,8883,789,1005,88,54700,5416,Europe
Ireland,8928,+839,320,+33,25,8583,194,1808,65,53000,10734,Europe
India,8446,+846,288,+39,969,7189,,6,0.2,189111,137,Asia
Ecuador,7257,+96,315,+18,411,6531,184,411,18,21568,1222,"South America"
Chile,6927,+426,73,+8,1864,4990,383,362,4,76374,3995,"South America"
Peru,6848,+951,181,+12,1739,4928,142,208,5,67712,2054,"South America"
Norway,6409,+95,119,+6,32,6258,67,1182,22,124279,22924,Europe
Poland,6356,+401,208,+27,375,5773,160,168,5,129560,3423,Europe
Australia,6303,+65,56,+2,3265,2982,80,247,2,351380,13780,Australia/Oceania
Japan,6005,,99,,762,5144,109,47,0.8,64387,509,Asia
Denmark,5996,+177,260,+13,1955,3781,106,1035,45,67771,11700,Europe
Romania,5990,+523,291,+21,758,4941,208,311,15,59272,3081,Europe
Czechia,5902,+170,129,+10,411,5362,92,551,12,120285,11232,Europe
Pakistan,5011,+316,86,+20,762,4163,50,23,0.4,57836,262,Asia
Malaysia,4530,+184,73,+3,1995,2462,72,140,2,71897,2221,Asia
