"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop"
World,1510088,"+79,107",88335,"+6,299",329684,1092069,48047,194,11.3,,
USA,427101,"+26,766",14668,"+1,827",22314,390119,9234,1290,44,2200230,6647
Spain,148220,"+6,278",14792,+747,48021,85407,7069,3170,316,355000,7593
Italy,139422,"+3,836",17669,+542,26491,95262,3693,2306,292,807125,13349
Germany,113296,"+5,633",2349,+333,46300,64647,4895,1352,28,1317887,15730
France,112950,"+3,881",10869,+541,21254,80827,7148,1730,167,224254,3436
Iran,64586,"+1,997",3993,+121,29812,30781,3987,769,48,211136,2514
UK,60733,"+5,491",7097,+938,135,53501,1559,895,105,282074,4155
Turkey,38226,"+4,117",812,+87,1846,35568,1492,453,10,247768,2938
Belgium,23403,"+1,209",2240,+205,4681,16482,1276,2019,193,84248,7269
Switzerland,23280,"+1,027",895,+74,9800,12585,391,2690,103,171938,19867
Netherlands,20549,+969,2248,+147,250,18051,1424,1199,131,101534,5926
Canada,19438,"+1,541",427,+46,4548,14463,426,515,11,361969,9591
Brazil,16188,"+2,154",820,+134,127,15241,296,76,4,54824,258
Portugal,13141,+699,380,+35,196,12565,245,1289,37,128784,12630
Austria,12942,+303,273,+30,4512,8157,267,1437,30,120755,13408
"S. Korea",10384,+53,200,+8,6776,3408,55,203,4,477304,9310
Israel,9404,+156,73,+8,801,8530,147,1086,8,117339,13557
Russia,8672,"+1,175",63,+5,580,8029,8,59,0.4,910221,6237
Sweden,8419,+726,687,+96,205,7527,678,834,68,54700,5416
Ireland,6074,+365,235,+25,25,5814,165,1230,48,42484,8604
Australia,6052,+64,50,+1,2813,3189,87,237,2,319784,12541
Norway,6042,,101,+12,32,5909,78,1115,19,113896,21009
India,5916,+565,178,+18,506,5232,,4,0.1,167235,121
Chile,5546,+430,48,+5,1115,4383,362,290,3,60391,3159
Denmark,5402,+331,218,+15,1621,3563,127,933,38,64002,11050
Czechia,5312,+295,99,+11,233,4980,103,496,9,98681,9215
Poland,5205,+357,159,+30,222,4824,160,138,4,99284,2623
Romania,4761,+344,220,+23,528,4013,162,247,11,47207,2454
Japan,4667,+410,94,+1,632,3941,99,37,0.7,55311,437
Ecuador,4450,+455,242,+22,140,4068,146,252,14,14406,817
Peru,4342,"+1,388",121,+14,1333,2888,113,132,4,39599,1201
Pakistan,4263,+228,61,+4,467,3735,25,19,0.3,42159,191
Malaysia,4119,+156,65,+2,1487,2567,76,127,2,58240,1799
Philippines,3870,+106,182,+5,96,3592,1,35,2,24500,224
Luxembourg,3034,+64,46,+2,500,2488,34,4847,73,26573,42450
Indonesia,2956,+218,240,+19,222,2494,,11,0.9,14354,52
"Saudi Arabia",2932,+137,41,,631,2260,41,84,1,,
Mexico,2785,+346,141,+16,633,2011,89,22,1,25410,197
Serbia,2666,+219,65,+4,118,2483,112,305,7,10761,1232
UAE,2659,+300,12,,239,2408,1,269,1,593095,59967
Panama,2528,+428,63,+8,16,2449,101,586,15,11776,2729
Finland,2487,+179,40,+6,300,2147,82,449,7,36500,6588
Thailand,2369,+111,30,+3,888,1451,61,34,0.4,71860,1030
Qatar,2210,+153,6,,178,2026,37,767,2,41818,14515
"Dominican Republic",2111,+155,108,+10,50,1953,147,195,10,4542,419
Colombia,2054,+274,55,+5,123,1876,76,40,1,33575,660
Greece,1884,+52,83,+2,269,1532,84,181,8,32528,3121
"South Africa",1845,+96,18,+5,95,1732,7,31,0.3,63776,1075
Argentina,1795,+80,65,+5,358,1372,96,40,1,13330,295
Ukraine,1668,+206,52,+7,35,1581,33,38,1,7205,165
Singapore,1623,+142,6,,406,1211,29,277,1,65000,11110
Iceland,1616,+30,6,,633,977,13,4736,18,30947,90689
Algeria,1572,+104,205,+12,237,1130,46,36,5,3359,77
Egypt,1560,+110,103,+9,305,1152,,15,1,25000,244
Croatia,1343,+61,19,+1,179,1145,36,327,5,13125,3197
Morocco,1275,+91,93,+3,97,1085,1,35,3,5752,156
"New Zealand",1210,+50,1,,282,927,4,251,0.2,46875,9721
Iraq,1202,+80,69,+4,452,681,,30,2,28414,706
Estonia,1185,+36,24,+3,72,1089,11,893,18,24813,18705
Moldova,1174,+118,27,+5,40,1107,80,291,7,5108,1266
Slovenia,1091,+32,40,+4,120,931,35,525,19,30669,14752
Belarus,1066,+205,13,,77,976,33,113,1,46000,4868
"Hong Kong",961,+25,4,,264,693,14,128,0.5,96709,12900
Lithuania,912,+32,15,,8,889,21,335,6,30108,11060
Hungary,895,+78,58,+11,94,743,17,93,6,25748,2665
Armenia,881,+28,9,+1,114,758,30,297,3,5452,1840
Kuwait,855,+112,1,,111,743,21,200,0.2,,
Bahrain,823,+12,5,,477,341,3,484,3,52351,30766
Azerbaijan,822,+105,8,,63,751,23,81,0.8,53300,5257
"Bosnia and Herzegovina",804,+40,34,+1,79,691,4,245,10,6911,2106
Cameroon,730,+45,10,+1,60,660,,27,0.4,,
Kazakhstan,727,+30,7,+1,54,666,21,39,0.4,56775,3024
"Diamond Princess",712,,11,,619,82,10,,,,
Slovakia,682,+101,2,,16,664,3,125,0.4,19681,3605
Tunisia,628,+5,24,+1,25,579,67,53,2,8878,751
"North Macedonia",617,+18,29,+3,35,553,15,296,14,6230,2990
Bulgaria,593,+16,24,+1,42,527,27,85,3,15899,2288
Latvia,577,+29,2,,16,559,5,306,1,24036,12743
Lebanon,576,+28,19,,62,495,29,84,3,10808,1583
Andorra,564,+19,23,+1,52,489,17,7300,298,1673,21653
Uzbekistan,545,+25,3,+1,30,512,8,16,0.09,,
Cyprus,526,+32,9,,52,465,13,436,7,14273,11822
"Costa Rica",502,+19,3,+1,29,470,15,99,0.6,6035,1185
Cuba,457,+61,12,+1,27,418,15,40,1,9410,831
Uruguay,456,+32,7,,192,257,14,131,2,6175,1778
Afghanistan,444,+21,14,,29,401,,11,0.4,,
Oman,419,+48,2,,72,345,3,82,0.4,,
"Burkina Faso",414,+30,23,+4,134,257,,20,1,,
Albania,400,+17,22,,154,224,7,139,8,2989,1039
"Ivory Coast",384,+35,3,,48,333,,15,0.1,,
Taiwan,379,+3,5,,67,307,,16,0.2,40702,1709
Jordan,358,+5,6,,150,202,5,35,0.6,17000,1666
Réunion,358,,,,40,318,4,400,,,
"Channel Islands",351,+16,8,+1,38,305,,2019,46,1157,6655
Niger,342,+64,11,,28,303,,14,0.5,4199,173
Ghana,313,+26,6,+1,34,273,2,10,0.2,,
Honduras,312,+7,22,,6,284,10,32,2,,
Malta,299,+6,1,+1,16,282,4,677,2,12731,28833
"San Marino",279,,34,,40,205,14,8223,1002,586,17270
Nigeria,276,+22,6,,44,226,2,1,0.03,5000,24
Mauritius,273,+5,7,,19,247,3,215,6,4913,3863
Kyrgyzstan,270,+42,4,,33,233,5,41,0.6,9618,1474
Palestine,263,+2,1,,44,218,,52,0.2,15450,3029
Vietnam,251,,,,126,125,8,3,,110124,1131
Montenegro,248,+7,2,,4,242,7,395,3,2329,3708
Senegal,244,+7,2,,113,129,1,15,0.1,,
Bangladesh,218,+54,20,+3,33,165,1,1,0.1,5164,31
Georgia,211,+15,3,,50,158,6,53,0.8,3271,820
Bolivia,210,+16,15,+1,2,193,3,18,1,591,51
"Sri Lanka",189,+4,7,+1,44,138,5,9,0.3,3248,152
"Faeroe Islands",184,,,,131,53,1,3766,,5153,105458
DRC,180,,18,,9,153,,2,0.2,,
Kenya,179,+7,6,,9,164,2,3,0.1,4973,92
Mayotte,171,,2,,22,147,3,627,7,1100,4032
Venezuela,167,+1,9,+2,65,93,6,6,0.3,1779,63
Guinea,164,+20,,,5,159,,12,,,
"Isle of Man",158,+8,1,,82,75,7,1858,12,1824,21450
Martinique,154,+2,6,+2,50,98,19,410,16,,
Guadeloupe,141,+2,8,+1,43,90,13,352,20,,
Brunei,135,,1,,91,43,3,309,2,8845,20218
Djibouti,135,+45,,,25,110,,137,,3106,3144
Gibraltar,120,+7,,,60,60,,3562,,1481,43958
Paraguay,119,+4,5,,15,99,1,17,0.7,2039,286
Cambodia,117,+2,,,63,54,1,7,,5768,345
Rwanda,110,+5,,,7,103,,8,,806,62
"Trinidad and Tobago",107,,8,,1,98,,76,6,878,627
"El Salvador",93,+15,5,+1,9,79,2,14,0.8,,
Madagascar,93,+5,,,11,82,1,3,,,
Guatemala,87,+10,3,,17,67,3,5,0.2,1134,63
"French Guiana",83,+6,,,43,40,1,278,,,
Monaco,81,+2,1,,4,76,4,2064,25,,
Liechtenstein,78,,1,,55,22,,2046,26,900,23605
Aruba,77,+3,,,14,63,,721,,990,9273
Togo,70,+5,3,,23,44,,8,0.4,1747,211
Jamaica,63,,4,+1,10,49,,21,1,540,182
Barbados,63,,3,,8,52,4,219,10,655,2279
Mali,59,+3,7,+2,16,36,,3,0.3,,
Ethiopia,55,+3,2,,4,49,1,0.5,0.02,2496,22
Uganda,53,+1,,,,53,,1,,3310,72
"French Polynesia",51,+4,,,,51,,182,,744,2649
Congo,45,,5,,2,38,,8,0.9,,
"Cayman Islands",45,,1,,6,38,,685,15,479,7288
Macao,45,+1,,,10,35,1,69,,,
Bahamas,40,+7,7,+1,5,28,1,102,18,,
"Sint Maarten",40,,6,,1,33,2,933,140,112,2612
Bermuda,39,,3,+1,23,13,,626,48,315,5058
Zambia,39,,1,,7,31,1,2,0.05,1239,67
Guyana,37,+4,6,+1,8,23,4,47,8,145,184
Gabon,34,+4,1,,1,32,,15,0.4,,
Eritrea,33,+2,,,,33,,9,,,
Guinea-Bissau,33,,,,,33,,17,,,
"Saint Martin",32,,2,,7,23,6,828,52,,
Liberia,31,+17,4,+1,3,24,,6,0.8,,
Haiti,27,+2,1,,,26,,2,0.09,257,23
Benin,26,,1,,5,20,,2,0.08,,
Tanzania,25,+1,1,,5,19,,0.4,0.02,,
Myanmar,22,,3,+2,,19,,0.4,0.06,1246,23
Libya,21,+1,1,,8,12,,3,0.1,355,52
Angola,19,+2,2,,2,15,,0.6,0.06,,
"Antigua and Barbuda",19,,2,+1,,17,1,194,20,40,408
Syria,19,,2,,4,13,,1,0.1,,
Maldives,19,,,,13,6,,35,,,
"Equatorial Guinea",18,+2,,,3,15,,13,,854,609
"New Caledonia",18,,,,1,17,,63,,2320,8126
Mozambique,17,+7,,,1,16,,0.5,,467,15
Mongolia,16,+1,,,4,12,,5,,,
Namibia,16,,,,3,13,,6,,362,142
Dominica,15,,,,1,14,,208,,293,4070
Fiji,15,,,,,15,,17,,,
Laos,15,+1,,,,15,,2,,781,107
Sudan,14,,2,,2,10,,0.3,0.05,,
Curaçao,14,+1,1,,7,6,,85,6,,
"Saint Lucia",14,,,,1,13,,76,,,
Somalia,12,+4,1,+1,1,10,,0.8,0.06,,
Grenada,12,,,,,12,2,107,,45,400
Eswatini,12,+2,,,7,5,,10,,,
Zimbabwe,11,,3,+1,,8,,0.7,0.2,371,25
Greenland,11,,,,11,0,,194,,770,13564
"Saint Kitts and Nevis",11,,,,,11,,207,,183,3440
Seychelles,11,,,,,11,,112,,,
Suriname,10,,1,,3,6,,17,2,,
Chad,10,,,,2,8,,0.6,,,
"MS Zaandam",9,,2,,,7,,,,,
Nepal,9,,,,1,8,,0.3,,2366,81
